efg;ts
0.608;0.585
0.562;0.525
0.591;0.549
0.539;0.480
0.541;0.493
0.520;0.480
0.475;0.438
0.556;0.523
0.548;0.527
0.491;0.482
0.621;0.601
0.546;0.514
0.507;0.492
0.446;0.402
0.533;0.522
0.492;0.445
0.507;0.493
0.518;0.483
0.533;0.480
0.604;0.581
0.374;0.377
0.516;0.492
0.432;0.395
0.549;0.523
0.330;0.333
0.377;0.370
0.413;0.391
0.513;0.474
0.470;0.416
0.497;0.467
0.466;0.447
0.447;0.432
0.389;0.328
0.333;0.281
0.587;0.544
0.513;0.473
0.516;0.532
0.468;0.436
0.648;0.654
0.416;0.405
0.586;0.538
0.480;0.448
0.478;0.441
0.465;0.434
0.473;0.446
0.475;0.458
0.477;0.458
0.560;0.530
0.570;0.512
0.521;0.510
0.500;0.500
0.622;0.625
0.620;0.591
0.526;0.503
0.636;0.596
0.587;0.577
0.449;0.408
0.549;0.527
0.598;0.585
0.646;0.606
0.517;0.493
0.388;0.362
0.480;0.447
0.480;0.420
0.473;0.452
0.641;0.627
0.421;0.381
0.431;0.404
0.441;0.405
0.532;0.516
0.531;0.501
0.503;0.478
0.519;0.479
0.577;0.560
0.477;0.452
0.574;0.521
0.615;0.635
0.506;0.486
0.557;0.545
0.474;0.442
0.432;0.411
0.541;0.523
0.518;0.483
0.529;0.506
0.589;0.583
0.469;0.452
0.513;0.458
0.492;0.481
0.404;0.326
0.444;0.438
0.536;0.514
0.556;0.528
0.481;0.485
0.517;0.471
0.486;0.476
0.523;0.505
0.577;0.544
0.503;0.470
0.466;0.500
0.528;0.511
